Technical;E&ECE;;Technical;E&ECE;;Technical;E&ECE;
Technical;Ocean Engineering & Naval Architecture: Any;;Technical;Ocean Engineering & Naval Architecture: Any;;Technical;Ocean Engineering & Naval Architecture: Any;
Technical;Civil Engineering: Structural Engineering and Safety;;Technical;Civil Engineering: Surveying and Geodesy;;Technical;Mathematics: Any;
Technical;Aerospace Engineering: Aerodynamics;;Technical;Aerospace Engineering: Any;;Technical;Mechanical Engineering: Any;
Technical;Geological Sciences: Seismology and Geothermics;;Non-Technical;Finance;;Non-Technical;Finance;
Technical;Computer Science and Engineering: Machine Learning/Data Mining;;Technical;Computer Science and Engineering: Machine Learning/Data Mining;;Non-Technical;Any;
Non-Technical;Consulting;;Non-Technical;Marketing and Advertising;;Non-Technical;Finance;
Technical;Biotechnology: Any;;Technical;Biotechnology: Any;;Non-Technical;Any;
Technical;Aerospace Engineering: Aerodynamics;;Technical;Aerospace Engineering: Controls;;Technical;Aerospace Engineering: Any;
Technical;Mechanical Engineering: Power Plant and I.C. Engine;;Technical;Mechanical Engineering: Thermodynamics and Heat Transfer;;Technical;Mechanical Engineering: Refrigeration and Air-Conditioning;
Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;;Technical;Mechanical Engineering: Any;
Technical;chemical;;Technical;chemical;;Technical;chemical;
Technical;Mathematics: Theoretical Computer Science;;Technical;Mathematics: Theoretical Computer Science;;Non-Technical;Human Relations;
Non-Technical;Consulting;;Non-Technical;Consulting;;Non-Technical;Consulting;
Technical;Computer Science and Engineering: Networks;;Technical;Computer Science and Engineering: Networks;;Technical;Ocean Engineering & Naval Architecture: Any;
Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;;Non-Technical;Enterpreneurship;
Technical;Geological Sciences: Seismology and Geothermics;;Technical;Geological Sciences: Geostatistics and Ore Deposit Modeling;;Technical;Civil Engineering: Geotechnical Engineering;
Technical;mining engineering;;Technical;mining engineering;;Technical;mining engineering;
Non-Technical;Government Administrations;;Non-Technical;Consulting;;Non-Technical;Consulting;
Technical;IEM;;Technical;IEM;;Technical;IEM;
Technical;mechanical enineering;;Technical;mechanical enineering;;Technical;mechanical enineering;
Non-Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;;Technical;No Specific area of interest: Any;
Non-Technical;Consulting;;Technical;No Specific area of interest: Any;;Non-Technical;Consulting;
Technical;Mechanical Engineering: Any;;Non-Technical;Any;;Non-Technical;Business Administration;
Technical;Biotechnology;;Technical;Biotechnology;;Technical;Biotechnology;
Technical;HSS;;Technical;HSS;;Technical;HSS;
Technical;Industrial Engineering Operations Research: Supply Chain Analysis and Inventory Planning;;Non-Technical;Consulting;;Non-Technical;Business Administration;
Technical;Chemical Engineering: Process Modelling Simulation;;Technical;Chemical Engineering: Any;;Non-Technical;Any;
Technical;Mechanical;;Technical;Mechanical;;Technical;Mechanical;
Technical;Energy Science and Engineering: Geomagnetism and general Geophysics;;Technical;Geological Sciences: Ore Petrology;;Technical;Energy Science and Engineering: Any;
Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;;Technical;Electronics & Electrical Communication Engineering: Any;
Technical;chemical;;Technical;chemical;;Technical;chemical;
Technical;Computer Science and Engineering: Machine Learning/Data Mining;;Technical;Computer Science and Engineering: Software Engineering;;Technical;Computer Science and Engineering: Any;
Technical;Agricultural & Food Engineering: Any;;Technical;Agricultural & Food Engineering: Any;;Non-Technical;Any;
Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;;Technical;Metallurgical and Materials Engineering;
Non-Technical;Finance;;Non-Technical;Finance;;Non-Technical;Accounting;
Non-Technical;Consulting;;Non-Technical;Consulting;;Non-Technical;Banking Finance;
Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Any;;Technical;Computer Science and Engineering: Any;
